#Lat	 Lon	Time	Back Az	F-stat	Array Dim
39.719600677490234	-113.38999938964844	2012-07-24T00:04:00.008300Z	49.4	2.339	4.000
39.719600677490234	-113.38999938964844	2012-07-24T00:07:30.008300Z	94.2	1.926	4.000
39.719600677490234	-113.38999938964844	2012-07-24T00:10:00.008300Z	49.4	2.494	4.000
39.719600677490234	-113.38999938964844	2012-07-24T00:13:30.008300Z	74.1	1.613	4.000
39.719600677490234	-113.38999938964844	2012-07-24T00:21:30.008300Z	103.5	1.628	4.000
39.719600677490234	-113.38999938964844	2012-07-24T00:26:30.008300Z	77.9	1.945	4.000
39.719600677490234	-113.38999938964844	2012-07-24T00:45:00.008300Z	94.2	2.906	4.000
39.719600677490234	-113.38999938964844	2012-07-24T00:56:00.008300Z	74.9	2.351	4.000
39.719600677490234	-113.38999938964844	2012-07-24T01:01:00.008300Z	101.3	6.641	4.000
39.719600677490234	-113.38999938964844	2012-07-24T01:06:00.008300Z	90.0	2.078	4.000
39.719600677490234	-113.38999938964844	2012-07-24T01:15:00.008300Z	83.7	2.302	4.000
39.719600677490234	-113.38999938964844	2012-07-24T01:18:30.008300Z	81.6	2.096	4.000
39.719600677490234	-113.38999938964844	2012-07-24T01:42:00.008300Z	229.4	2.384	4.000
39.719600677490234	-113.38999938964844	2012-07-24T02:03:30.008300Z	87.9	1.953	4.000
39.719600677490234	-113.38999938964844	2012-07-24T02:16:30.008300Z	90.0	1.935	4.000
39.719600677490234	-113.38999938964844	2012-07-24T02:36:30.008300Z	195.1	1.641	4.000
39.719600677490234	-113.38999938964844	2012-07-24T02:42:00.008300Z	83.7	1.901	4.000
39.719600677490234	-113.38999938964844	2012-07-24T03:02:30.008300Z	69.7	1.626	4.000
39.719600677490234	-113.38999938964844	2012-07-24T03:07:00.008300Z	124.3	1.820	4.000
39.719600677490234	-113.38999938964844	2012-07-24T03:14:00.008300Z	65.4	1.638	4.000
39.719600677490234	-113.38999938964844	2012-07-24T03:17:30.008300Z	81.6	1.876	4.000
