#Lat	 Lon	Time	Back Az	F-stat	Array Dim
39.719600677490234	-113.38999938964844	2012-07-24T21:03:30.008300Z	116.6	1.496	4.000
39.719600677490234	-113.38999938964844	2012-07-24T21:13:30.008300Z	144.5	2.582	4.000
39.719600677490234	-113.38999938964844	2012-07-24T21:16:30.008300Z	151.4	3.417	4.000
39.719600677490234	-113.38999938964844	2012-07-24T21:25:00.008300Z	152.4	2.141	4.000
39.719600677490234	-113.38999938964844	2012-07-24T21:28:00.008300Z	18.4	2.625	4.000
39.719600677490234	-113.38999938964844	2012-07-24T21:34:00.008300Z	0.0	14.351	4.000
39.719600677490234	-113.38999938964844	2012-07-24T21:50:30.008300Z	3.9	1.845	4.000
39.719600677490234	-113.38999938964844	2012-07-24T23:31:30.008300Z	84.1	1.443	4.000
39.719600677490234	-113.38999938964844	2012-07-24T23:46:00.008300Z	240.5	16.696	4.000
39.719600677490234	-113.38999938964844	2012-07-24T23:47:00.008300Z	231.3	7.644	4.000
39.719600677490234	-113.38999938964844	2012-07-24T23:56:00.008300Z	154.3	1.417	4.000
39.719600677490234	-113.38999938964844	2012-07-24T00:00:00.000000Z	13.6	16.949	4.000
39.719600677490234	-113.38999938964844	2012-07-24T00:00:00.000000Z	13.6	16.949	4.000
